print_form	render_form	status
Moloch	Moloch	untested
Hayek	Hayek	untested
Nozick	Nozick	untested
Rawls	Rawls	untested
Ostrom	Ostrom	untested
Schelling	Schelling	untested
Nietzsche	Nietzsche	untested
Kahneman	Kahneman	untested
Taleb	Taleb	untested
Axelrod	Axelrod	untested
MacIntyre	MacIntyre	untested
Nussbaum	Nussbaum	untested
Sen	Sen	untested
Coase	Coase	untested
Gauthier	Gauthier	untested
Scanlon	Scanlon	untested
Korsgaard	Korsgaard	untested
Sidgwick	Sidgwick	untested
Parfit	Parfit	untested
Frankish	Frankish	untested
Dancy	Dancy	untested
Dworkin	Dworkin	untested
Sowell	Sowell	untested
Caplan	Caplan	untested
Pigovian	Pigovian	untested
Euthyphro	Euthyphro	untested
Thomistic	Thomistic	untested
Chesterton	Chesterton	untested
ren	ren	untested
anatman	anatman	untested
Ubuntu	Ubuntu	untested
tsuyoku naritai	tsuyoku naritai	untested
Tribunal de las Aguas	Tribunal de las Aguas	untested
Crosbie	Crosbie	untested	ch-01/ch-10/prologue proper noun — isolation-test before render
Sinclair	Sinclair	untested	ch-01/ch-10/prologue proper noun — isolation-test before render
Marchak	Marchak	untested	ch-01/ch-10/prologue proper noun — isolation-test before render
Hardin	Hardin	untested	ch-01/ch-10/prologue proper noun — isolation-test before render
Lloyd	Lloyd	untested	ch-01/ch-10/prologue proper noun — isolation-test before render
Khanna	Khanna	untested	ch-01/ch-10/prologue proper noun — isolation-test before render
Bullock	Bullock	untested	ch-01/ch-10/prologue proper noun — isolation-test before render
Cabot	Cabot	untested	ch-01/ch-10/prologue proper noun — isolation-test before render
Soncino	Soncino	untested	ch-01/ch-10/prologue proper noun — isolation-test before render
CAFSAC	CAFSAC	untested	ch-01/ch-10/prologue proper noun — isolation-test before render
DFO	DFO	untested	ch-01/ch-10/prologue proper noun — isolation-test before render
Kudrna	Kudrna	untested	ch-01/ch-10/prologue proper noun — isolation-test before render
Boisjoly	Boisjoly	untested	ch-01/ch-10/prologue proper noun — isolation-test before render
Mulloy	Mulloy	untested	ch-01/ch-10/prologue proper noun — isolation-test before render
Buxtun	Buxtun	untested	ch-01/ch-10/prologue proper noun — isolation-test before render
Kilminster	Kilminster	untested	ch-01/ch-10/prologue proper noun — isolation-test before render
Thiokol	Thiokol	untested	ch-01/ch-10/prologue proper noun — isolation-test before render
Vaughan	Vaughan	untested	ch-01/ch-10/prologue proper noun — isolation-test before render
Loewenstein	Loewenstein	untested	ch-01/ch-10/prologue proper noun — isolation-test before render
Jackall	Jackall	untested	ch-01/ch-10/prologue proper noun — isolation-test before render
Rapoport	Rapoport	untested	ch-02 proper noun — isolation-test before render
Ashworth	Ashworth	untested	ch-02 proper noun — isolation-test before render
Marisol	Marisol	untested	ch-02 proper noun — isolation-test before render
Nowak	Nowak	untested	ch-02 proper noun — isolation-test before render
Sigmund	Sigmund	untested	ch-02 proper noun — isolation-test before render
FRIEDMAN	FRIEDMAN	untested	ch-02 proper noun (program nickname) — isolation-test before render
HARRINGTON	HARRINGTON	untested	ch-02 proper noun (program nickname) — isolation-test before render
Dawkins	Dawkins	untested	ch-02 proper noun — isolation-test before render
Downing	Downing	untested	ch-02 proper noun — isolation-test before render
Tideman	Tideman	untested	ch-02 proper noun — isolation-test before render
Chieruzzi	Chieruzzi	untested	ch-02 proper noun — isolation-test before render
Stein	Stein	untested	ch-02 proper noun — isolation-test before render
JOSS	JOSS	untested	ch-02 proper noun (program nickname) — isolation-test before render
Pavlov	Pavlov	untested	ch-02 proper noun (rule nickname) — isolation-test before render
